n,NAME1,NAME2,DCODE,codccp,born,res,pop,IEV,IBM,IC
75,SAN JOSE,San Jose,48007015,101,86,85,333876,0.822621,0.688346,0.895533
77,SAN JOSE,Escazu,48007007,102,2,6,58121,0.848121,1,0.916214
87,SAN JOSE,Desamparados,48007005,103,7,48,239798,0.794035,0.579381,0.887462
86,SAN JOSE,Puriscal,48007014,104,7,9,30867,0.886778,0.38499,0.939588
99,SAN JOSE,Tarrazu,48007017,105,4,5,15789,0.85501,0.308365,0.834189
90,SAN JOSE,Aserri,48007003,106,7,11,53466,0.787383,0.496851,0.84244
82,SAN JOSE,Mora,48007011,107,1,2,25038,0.913241,0.551856,0.892494
71,SAN JOSE,Goicoechea,48007008,108,2,27,127140,0.858218,0.622057,0.894688
74,SAN JOSE,Santa Ana,48007016,109,1,7,40127,0.850537,0.951675,0.900138
84,SAN JOSE,Alajuelita,48007002,110,1,9,96348,0.828901,0.560862,0.790715
45,SAN JOSE,Vazquez de Cor.,48007020,111,0,6,69835,0.843885,0.648483,0.885516
91,SAN JOSE,Acosta,48007001,112,8,5,19421,0.872554,0.313887,0.855575
73,SAN JOSE,Tibas,48007018,113,1,19,67292,0.867864,0.676102,0.926997
56,SAN JOSE,Moravia,48007012,114,2,9,53733,0.881733,0.725111,0.936782
76,SAN JOSE,Montes de Oca,48007010,115,1,11,53627,0.879286,0.779461,0.956329
85,SAN JOSE,Turrubares,48007019,116,2,2,4858,0.8409,0.34223,0.907912
98,SAN JOSE,Dota,48007006,117,1,2,6774,0.873556,0.322737,0.934344
83,SAN JOSE,Curridabat,48007004,118,1,8,68310,0.910957,0.881364,0.868385
5,SAN JOSE,Perez Zeledon,48007013,119,9,22,129549,0.833644,0.368763,0.865409
97,SAN JOSE,Leon Cortes C.,48007009,120,0,8,12817,0.89794,0.264076,0.903383
31,ALAJUELA,Alajuela,48001001,201,18,48,258874,0.831856,0.566538,0.877744
30,ALAJUELA,San Ramon,48001013,202,12,15,79930,0.881759,0.428518,0.887972
28,ALAJUELA,Grecia,48001004,203,7,8,75448,0.847871,0.490781,0.90302
43,ALAJUELA,Grecia,48001004,203,7,8,75448,0.847871,0.490781,0.90302
63,ALAJUELA,San Mateo,48001012,204,0,0,5710,0.872371,0.436316,0.862986
59,ALAJUELA,Atenas,48001003,205,2,3,24893,0.889534,0.508495,0.892492
44,ALAJUELA,Naranjo,48001007,206,11,9,42540,0.884406,0.443031,0.89753
52,ALAJUELA,Palmares,48001009,207,4,8,34671,0.833558,0.504905,0.91999
42,ALAJUELA,Poas,48001010,208,0,5,28723,0.842446,0.464681,0.877698
80,ALAJUELA,Orotina,48001008,209,2,5,17553,0.846722,0.520474,0.90539
19,ALAJUELA,San Carlos,48001011,210,4,14,142104,0.860205,0.500477,0.880667
39,ALAJUELA,Alfaro Ruiz,48001002,211,1,1,12959,0.840766,0.540957,0.903033
38,ALAJUELA,Valverde Vega,48001015,212,1,5,17712,0.860853,0.427854,0.91089
18,ALAJUELA,Upala,48001014,213,1,3,37891,0.895575,0.294077,0.808007
17,ALAJUELA,Los Chiles,48001006,214,1,4,20651,0.860516,0.307525,0.772375
22,ALAJUELA,Guatuso,48001005,215,0,0,15162,0.929787,0.320347,0.806858
72,CARTAGO,Cartago,48002002,301,26,53,146467,0.817429,0.723491,0.900188
88,CARTAGO,Paraiso,48002007,302,3,12,62216,0.840862,0.612646,0.85153
78,CARTAGO,La Union,48002005,303,3,18,94398,0.8126,0.660921,0.854209
79,CARTAGO,Jimenez,48002004,304,3,6,14226,0.914863,0.392187,0.87572
55,CARTAGO,Turrialba,48002008,305,10,21,71258,0.871232,0.425873,0.802907
62,CARTAGO,Alvarado,48002001,306,1,1,13368,0.902498,0.681138,0.853784
48,CARTAGO,Oreamuno,48002006,307,2,10,43027,0.813235,0.752844,0.87587
92,CARTAGO,El Guarco,48002003,308,1,11,36880,0.818877,0.651286,0.883843
37,HEREDIA,Heredia,48004004,401,3,13,120288,0.841892,0.676871,0.919174
65,HEREDIA,Heredia,48004004,401,3,13,120288,0.841892,0.676871,0.919174
47,HEREDIA,Barva,48004001,402,0,7,36596,0.806152,0.631107,0.924542
60,HEREDIA,Sto. Domingo,48004010,403,1,6,36953,0.920047,0.708308,0.968847
46,HEREDIA,Sta. Barbara,48004009,404,1,5,32687,0.82651,0.585699,0.931509
49,HEREDIA,San Rafael,48004007,405,0,6,41269,0.80346,0.688391,0.89096
57,HEREDIA,San Isidro,48004005,406,0,3,19343,0.829937,0.711711,0.912102
64,HEREDIA,Belen,48004002,407,0,2,22225,0.816687,0.879654,0.949191
61,HEREDIA,Flores,48004003,408,0,2,16757,0.822297,0.671274,0.989194
66,HEREDIA,San Pablo,48004006,409,1,3,22887,0.899687,0.694173,0.918849
23,HEREDIA,Sarapiqui,48004008,410,0,7,60705,0.86224,0.393956,0.774408
20,GUANACASTE,Liberia,48003008,501,4,11,51743,0.762963,0.607722,0.889352
34,GUANACASTE,Nicoya,48003010,502,6,8,42533,0.8125,0.477172,0.930078
1,GUANACASTE,Santa Cruz,48003011,503,4,2,43364,0.818936,0.745647,0.947656
24,GUANACASTE,Bagaces,48003002,504,0,1,18023,0.825797,0.472291,0.847678
27,GUANACASTE,Carrillo,48003004,505,1,1,29459,0.764097,0.709505,0.869089
25,GUANACASTE,Canas,48003003,506,1,4,24962,0.798084,0.54464,0.869944
32,GUANACASTE,Abangares,48003001,507,1,2,16932,0.889951,0.415233,0.831978
26,GUANACASTE,Tilaran,48003012,508,3,3,17556,0.928039,0.456367,0.901571
53,GUANACASTE,Nandayure,48003009,509,0,3,10108,0.874703,0.42679,0.860081
16,GUANACASTE,La Cruz,48003007,510,0,2,17377,0.799266,0.407,0.814636
54,GUANACASTE,Hojancha,48003005,511,0,2,6684,0.795384,0.411816,0.915286
89,PUNTARENAS,Garabito,48006006,601,9,19,106475,0.7896745,0.7377055,0.85366
35,PUNTARENAS,Puntarenas,48006012,601,9,19,106475,0.7896745,0.7377055,0.85366
51,PUNTARENAS,Puntarenas,48006012,601,9,19,106475,0.7896745,0.7377055,0.85366
67,PUNTARENAS,Puntarenas,48006012,601,9,19,106475,0.7896745,0.7377055,0.85366
50,PUNTARENAS,Esparza,48006005,602,3,4,26676,0.837823,0.498752,0.903859
7,PUNTARENAS,Buenos Aires,48006002,603,4,7,42636,0.874758,0.316096,0.784043
40,PUNTARENAS,Montes de Oro,48006009,604,1,1,12528,0.883151,0.439678,0.891702
8,PUNTARENAS,Osa,48006010,605,4,4,23631,0.811852,0.460618,0.847257
4,PUNTARENAS,Aguirre,48006001,606,3,6,22815,0.770796,0.670896,0.837616
12,PUNTARENAS,Golfito,48006007,607,4,3,32314,0.844502,0.282757,0.839944
15,PUNTARENAS,Golfito,48006007,607,4,3,32314,0.844502,0.282757,0.839944
9,PUNTARENAS,Coto Brus,48006004,608,0,9,38165,0.810582,0.438103,0.861728
2,PUNTARENAS,Parrita,48006011,609,0,2,12633,0.787772,0.471654,0.792799
14,PUNTARENAS,Corredores,48006003,610,0,9,35310,0.782988,0.417428,0.833358
58,LIMON,Limon,48005002,701,3,10,100165,0.755708,0.505026,0.843682
21,LIMON,Pococi,48005004,702,0,19,129646,0.81233,0.398039,0.798879
36,LIMON,Siquirres,48005005,703,0,9,58354,0.829009,0.410728,0.821444
95,LIMON,Talamanca,48005006,704,0,4,30573,0.64621,0.408296,0.635427
41,LIMON,Matina,48005003,705,0,1,41271,0.744152,0.379599,0.779796
33,LIMON,Guacimo,48005001,706,0,3,42426,0.870487,0.392589,0.796543
